createdAt,status,restaurantName,pickupDeadline,driverArrivedAtRestaurantAt,pickedAt
2021-01-23 02:47:48.591,complete,Red Pat - Craft Burgers & Beer,2021-01-23 11:56:00.000,2021-01-23 11:27:06.642,2021-01-23 11:53:01.951
2021-01-23 10:14:44.008,complete,GoodFood Basel,2021-01-23 10:38:00.000,2021-01-23 10:45:42.651,2021-01-23 11:02:28.023
2021-01-23 10:39:55.361,complete,Pizza Princess Zürich,2021-01-23 11:21:00.000,2021-01-23 10:51:28.457,2021-01-23 10:52:12.325
2021-01-23 11:16:31.605,complete,Pizza Princess Genève,2021-01-23 11:51:00.000,2021-01-23 11:17:25.408,2021-01-23 11:28:04.077
2021-01-23 11:20:53.335,error_payment,GoodFood Basel,2021-01-23 11:40:00.000,,
2021-01-23 11:24:54.356,complete,GoodFood Genève,2021-01-23 11:55:00.000,2021-01-23 11:53:11.395,2021-01-23 11:56:38.594
2021-01-23 11:25:24.114,complete,GoodFood Basel,2021-01-23 11:52:00.000,2021-01-23 11:29:52.656,2021-01-23 11:44:33.600
2021-01-23 11:29:22.800,complete,GoodFood Lausanne,2021-01-23 11:55:00.000,2021-01-23 11:29:58.576,2021-01-23 11:58:42.472
2021-01-23 11:29:36.196,complete,GoodFood Genève,2021-01-23 11:58:00.000,2021-01-23 11:40:07.215,2021-01-23 11:48:09.003
2021-01-23 11:38:31.498,complete,GoodFood Lausanne,2021-01-23 12:12:00.000,2021-01-23 11:48:55.840,2021-01-23 11:54:09.159
2021-01-23 11:40:43.647,complete,GoodFood Lausanne,2021-01-23 12:12:00.000,2021-01-23 12:18:52.171,2021-01-23 12:22:25.525
2021-01-23 11:45:43.800,complete,Maria,2021-01-23 12:25:00.000,2021-01-23 11:59:38.698,2021-01-23 12:10:39.567
2021-01-23 12:07:28.944,complete,Red Pat - Craft Burgers & Beer,2021-01-23 12:44:00.000,2021-01-23 12:12:21.845,2021-01-23 12:22:16.294
2021-01-23 12:17:30.182,complete,GoodFood Basel 2,2021-01-23 12:39:00.000,2021-01-23 12:30:31.915,2021-01-23 12:35:21.236
2021-01-23 12:29:16.908,complete,GoodFood Lausanne,2021-01-23 12:56:00.000,2021-01-23 12:40:09.685,2021-01-23 12:54:20.435
2021-01-23 12:36:13.482,complete,GoodFood Basel,2021-01-23 13:05:00.000,2021-01-23 13:12:50.561,2021-01-23 13:22:21.411
2021-01-23 12:42:20.477,canceled,GoodFood Basel,2021-01-23 13:12:00.000,,
2021-01-23 12:44:04.638,complete,GoodFood Basel,2021-01-23 13:12:00.000,2021-01-23 12:47:50.496,2021-01-23 13:04:25.060
2021-01-23 12:52:55.263,error_payment,GoodFood Basel 2,2021-01-23 13:13:00.000,,
